식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
녹차스콘,60,31.24,4.39,4.79,0.0,131.3,0.0,0.0,0.0
녹차크레페,120,26.76,8.0,4.19,0.0,102.5,0.0,0.0,0.0
누룽지과자,122,47.96,8.34,14.99,0.0,62.32,0.0,0.0,0.0
다시마칩,40,10.22,1.61,2.43,0.0,139.27,0.0,0.0,0.0
단호박경단,69,30.57,3.59,3.33,0.0,86.97,0.0,0.0,0.0
두부샌드위치,195,22.25,8.31,9.67,0.0,7.51,0.0,0.0,0.0
라이스페이퍼새우롤,105,22.91,7.15,2.47,0.0,86.16,0.0,0.0,0.0
롤피자,163,63.8,13.76,5.02,0.0,524.04,0.0,0.0,0.0
마늘빵,70,40.22,6.85,12.03,5.21,390.45,8.94,7.71,0.2
만주,70,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04
머핀,130,69.29,7.37,28.23,39.5,407.17,71.21,5.24,0.13
멸치누룽지과자,100,29.45,11.55,3.96,0.0,177.2,0.0,0.0,0.0
모닝빵,70,36.44,6.9,6.5,5.46,276.07,24.05,3.16,0.07
미니버거,79,8.29,10.18,5.5,0.0,225.74,0.0,0.0,0.0
미니타르트,94,20.61,3.14,23.59,0.0,26.69,0.0,0.0,0.0
바질고구마옥수수빵,75,23.32,7.85,4.52,0.0,229.4,0.0,0.0,0.0
버터크림빵,70,32.36,5.72,12.88,8.39,223.04,20.78,9.84,0.32
베이글,120,68.66,12.52,1.2,8.43,556.0,1.62,0.79,0.04
블루베리치즈무스케익,126,40.09,5.53,26.96,0.0,154.64,0.0,0.0,0.0
사과와양파를곁들인돼지등심요리,138,5.95,17.83,21.02,0.0,35.82,0.0,0.0,0.0
사과와크림치즈를곁들인토스트,95,31.99,4.77,4.87,0.0,215.14,0.0,0.0,0.0
생크림케이크,100,27.59,3.9,16.9,8.36,96.63,66.89,9.36,0.34
센베이,30,7.88,0.63,0.0,0.76,17.1,0.0,0.0,0.0
수퍼브리또,145,40.6,9.37,6.42,0.0,110.2,0.0,0.0,0.0
식빵,40,20.44,3.32,2.08,0.0,26.4,0.0,0.0,0.0
아보카도달걀샌드위치,65,20.23,5.74,5.06,0.0,271.69,0.0,0.0,0.0
야채빵,70,23.64,4.18,2.25,0.0,131.79,0.0,0.0,0.0
야채칩,100,17.76,1.82,0.12,0.0,17.0,0.0,0.0,0.0
양송이버섯달걀크레페,215,48.2,16.77,9.57,0.0,91.81,0.0,0.0,0.0
잡곡강정,45,29.12,5.45,2.43,0.0,9.54,0.0,0.0,0.0
잣호두강정,19,7.94,2.02,6.8,0.0,0.81,0.0,0.0,0.0
찹쌀도우넛,70,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
채소커리를곁들인팬케익,313,31.64,15.02,7.26,0.0,261.7,0.0,0.0,0.0
채소팬케익,273,38.66,14.06,7.64,0.0,274.2,0.0,0.0,0.0
채소고로케,100,31.19,7.12,16.38,3.37,403.33,41.9,3.59,0.15
초콜릿케이크,100,43.6,5.32,24.95,23.13,170.0,50.84,14.4,0.38
치즈케이크,100,28.64,7.22,20.63,15.28,200.67,126.78,10.98,0.61
카스텔라,70,36.28,5.44,7.58,21.25,73.04,138.29,2.68,0.11
커리향이들어간치킨샐러드샌드위치,72,23.32,8.7,7.34,0.0,77.03,0.0,0.0,0.0
크로와상샌드위치,75,13.5,5.11,7.08,0.0,199.77,0.0,0.0,0.0
클럽샌드위치,110,22.78,10.59,6.58,0.0,164.7,0.0,0.0,0.0
티라미수,56,10.47,1.78,15.48,0.0,39.37,0.0,0.0,0.0
페이스트리빵,70,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59
피스타치오생크림과산딸기컵케이크,81,21.47,3.38,17.29,0.0,66.32,0.0,0.0,0.0
한과매작과,30,19.83,2.25,3.96,4.92,29.83,10.03,0.69,0.03
한과산자,30,24.66,0.69,0.93,9.39,6.86,0.0,0.03,0.0
한과송화다식,30,22.2,2.49,1.35,8.01,4.04,0.0,0.27,0.0
한과약과,30,25.47,1.26,1.44,5.07,17.19,0.0,0.36,0.0
한과유과,30,22.26,0.84,3.84,7.23,6.84,0.0,0.42,0.0
한국식오코노미야끼,130,39.53,15.44,3.18,0.0,115.15,0.0,0.0,0.0
햄치즈샌드위치,200,49.65,14.83,19.84,6.13,901.08,52.52,6.79,0.21
현미크레이프,120,56.2,7.02,0.7,0.0,41.56,0.0,0.0,0.0
호두과자,30,4.57,0.63,1.06,2.1,10.9,0.0,0.16,0.0
간자장,650,134.23,22.33,22.03,12.16,2716.2,28.72,9.71,0.24
고기만두,250,48.63,16.3,21.36,2.91,849.33,16.01,6.08,0.1
고기완자를곁들인스웨덴식국수,120,13.82,9.07,5.88,0.0,69.53,0.0,0.0,0.0
구슬파스타,120,48.91,10.61,5.77,0.0,120.14,0.0,0.0,0.0
군만두,250,88.06,17.53,29.21,4.18,952.22,17.02,12.4,0.25
굴짬뽕,900,115.69,32.87,9.6,1.7,2662.34,163.3,1.41,0.04
기스면,1000,89.79,37.82,10.72,0.5,2764.59,416.54,2.12,0.0
김치라면,650,86.22,13.77,16.93,1.22,2531.6,45.66,6.79,0.07
김치만두,250,57.57,15.58,14.22,3.02,941.25,12.69,4.84,0.08
김치우동,800,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0.0
낙지볶음면,223,27.56,9.63,1.03,0.0,270.05,0.0,0.0,0.0
냉쌀국수,250,36.42,16.45,3.75,0.0,304.9,0.0,0.0,0.0
냉김치말이국수,600,52.03,12.92,4.75,8.27,2121.62,88.95,1.06,0.01
니고랭,135,35.91,11.35,3.81,0.0,309.97,0.0,0.0,0.0
닭고기가들어간땅콩소스스파게티,90,34.11,10.63,2.82,0.0,132.47,0.0,0.0,0.0
들깨칼국수,600,59.8,17.59,16.48,1.43,1192.57,3.37,1.46,0.02
떡국,800,147.18,20.63,4.46,0.48,1928.42,136.34,2.18,0.02
떡라면,700,118.57,19.3,21.3,0.26,2313.44,160.08,9.39,0.1
떡만둣국,700,110.71,20.06,11.32,0.16,1980.19,122.42,3.44,0.08
라면,100,14.11,2.55,3.23,0.11,341.64,21.34,1.3,0.01
라비올리크림소스,356,101.99,39.37,19.47,0.0,273.09,0.0,0.0,0.0
라비올리토마토소스,392,55.86,14.46,6.43,0.0,116.46,0.0,0.0,0.0
막국수,550,114.86,20.99,6.28,23.35,1503.04,64.43,1.56,0.03
만둣국,700,47.83,21.43,17.44,3.05,2368.0,94.52,4.24,0.05
메밀국수,600,117.8,19.64,6.88,11.37,1753.84,3.45,0.54,0.0
물냉면,800,112.9,15.82,4.08,23.18,2618.21,41.78,1.18,0.0
물만두,120,18.69,6.76,6.1,0.66,287.02,10.7,3.99,0.07
미니그라탕,185,44.49,6.23,5.62,0.0,58.35,0.0,0.0,0.0
바지락볶음면,225,36.34,12.56,3.98,0.0,447.41,0.0,0.0,0.0
버섯리조또,999,87.11,14.19,23.08,0.0,150.95,0.0,0.0,0.0
버섯을넣은가지라자냐,132,14.78,8.08,5.23,0.0,242.39,0.0,0.0,0.0
비빔국수,550,109.85,18.75,11.5,23.61,1854.91,26.09,1.97,0.09
