식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
붕어찜경기광주,1100,71.64,54.26,36.88,16.18,3952.02,186.23,5.8,0.29
사태떡찜,162,26.89,13.66,4.63,0.0,263.69,0.0,0.0,0.0
생선살완자찹쌀찜,175,29.89,20.11,0.7,0.0,262.69,0.0,0.0,0.0
생선찜채소말이,160,18.78,15.57,3.95,0.0,345.79,0.0,0.0,0.0
서양식달걀찜시금치퀴시,140,49.97,12.33,4.69,0.0,142.02,0.0,0.0,0.0
소갈비찜,250,13.14,49.86,26.96,4.32,753.64,141.48,10.34,1.07
쇠고기감자찜,191,16.37,12.87,7.32,0.0,200.19,0.0,0.0,0.0
순대,300,94.88,7.96,9.93,0.91,1315.19,49.22,3.76,0.06
아구찜,400,17.47,48.3,5.31,0.69,1406.2,389.13,0.86,0.03
아귀찜마산,750,43.09,65.39,6.49,8.2,3425.72,420.21,1.12,0.0
안동찜닭안동,1500,139.51,114.24,38.8,66.81,5462.33,450.42,10.26,0.18
영양달걀찜,100,7.11,5.66,3.0,0.0,86.92,0.0,0.0,0.0
오징어보쌈과저나트륨된장소스,85,1.82,8.05,0.71,0.0,190.87,0.0,0.0,0.0
오징어순대속초,350,58.34,45.72,5.62,0.43,1258.72,517.44,1.35,0.01
전어찜,100,0.6,17.3,23.0,0.0,447.4,97.88,6.8,0.1
조기찜,100,1.6,20.1,10.6,0.0,602.03,138.43,2.8,0.1
족발,150,5.51,39.04,23.95,0.32,542.57,74.87,6.97,0.1
참꼬막,80,4.56,12.48,2.48,0.0,234.16,65.03,0.4,0.0
한방오리백숙,300,3.36,68.79,20.1,0.35,276.43,372.07,6.39,0.14
해물찜,500,35.35,42.62,9.8,5.52,2137.21,419.17,1.53,0.04
홍어찜,250,1.22,47.12,1.03,1.22,644.96,235.12,0.34,0.01
가자미구이,100,1.76,21.6,7.08,0.21,665.59,112.78,1.16,0.06
갈치구이,250,0.35,61.99,25.77,0.35,1022.03,198.95,7.35,0.25
고등어구이,250,1.86,59.24,47.18,0.35,1227.73,136.31,12.13,0.51
굴비구이,100,1.02,23.0,10.99,0.04,740.11,125.58,2.91,0.08
꽁치양념구이,189,29.22,12.64,7.37,0.0,169.19,0.0,0.0,0.0
꿩불고기충주,500,39.66,33.51,8.45,16.94,1264.31,106.18,1.88,0.07
닭고기바비큐,194,14.38,13.29,8.81,0.0,75.33,0.0,0.0,0.0
닭꼬치,70,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
도미구이,100,0.83,24.45,6.62,0.0,632.87,84.5,1.52,0.05
돼지갈비구이,350,29.07,72.69,59.37,11.37,1341.59,189.03,21.84,0.34
돼지주물럭돼지갈비서울마포,100,8.12,19.53,14.41,4.52,404.66,49.34,4.74,0.06
등심배구이,70,3.8,7.91,5.18,0.0,239.0,0.0,0.0,0.0
로스트비프,148,5.68,14.52,14.16,0.0,271.85,0.0,0.0,0.0
미니떡갈비,155,13.38,14.77,4.03,0.0,307.64,0.0,0.0,0.0
밀라노스타일포크커틀렛,89,7.47,13.72,15.11,0.0,97.71,0.0,0.0,0.0
버섯소스를곁들인돼지등심스테이크,284,7.92,20.39,26.27,0.0,79.63,0.0,0.0,0.0
병어구이,100,0.07,21.85,12.3,0.0,627.17,79.4,3.55,0.08
불고기광양,150,7.81,34.38,25.17,7.93,560.71,68.85,6.56,0.43
불고기오리,100,9.57,12.32,15.38,3.0,342.18,59.28,3.97,0.13
붕장어구이소금고흥,100,11.61,26.0,16.23,0.35,124.75,167.07,3.63,0.22
비프스트로가노프,145,26.58,15.09,7.82,0.0,268.95,0.0,0.0,0.0
살사를곁들인참치오븐구이,54,3.02,10.99,4.25,0.0,23.87,0.0,0.0,0.0
소곱창구이,150,5.46,16.71,61.32,0.22,315.87,166.38,21.67,1.56
소불고기,200,18.3,12.75,5.83,3.36,892.09,41.41,1.55,0.16
소양념갈비구이,300,26.23,60.06,71.56,13.93,1378.45,186.63,27.18,3.48
양념장어구이,150,8.8,30.77,30.56,4.18,704.64,215.24,7.1,0.27
양송이버섯과포도주스를가미한등심구이,232,17.14,11.6,10.93,0.0,165.62,0.0,0.0,0.0
왕갈비양념수원,150,13.74,27.07,35.28,6.81,548.76,58.52,13.01,2.16
요거트파슬리소스를곁들인닭고기구이,176,8.66,18.22,14.8,0.0,67.76,0.0,0.0,0.0
임연수구이,100,1.41,21.51,11.77,0.01,627.59,85.05,2.43,0.67
조기구이양념조기조림,100,4.28,13.69,6.28,1.5,590.41,76.06,1.66,0.04
종이에싸서구운도미파필로테,99,2.12,13.59,4.48,0.0,50.41,0.0,0.0,0.0
중국식바비큐폭립,170,13.41,22.85,18.0,0.0,352.38,0.0,0.0,0.0
지중해소스를곁들인도미스테이크,275,7.37,23.02,14.99,0.0,257.21,0.0,0.0,0.0
짚불구이곰장어기장,200,2.31,42.73,16.23,1.16,826.79,341.83,2.84,0.14
참깨오렌지쇠고기,170,9.89,21.08,6.32,0.0,269.13,0.0,0.0,0.0
치킨버거스테이크,133,9.6,21.27,0.73,0.0,89.3,0.0,0.0,0.0
카레소스를얹은두부스테이크,256,27.88,10.11,7.42,0.0,480.77,0.0,0.0,0.0
케이준스타일닭고기요리,118,5.26,19.92,22.23,0.0,63.64,0.0,0.0,0.0
해산물옥수수오븐구이프리타타,114,8.48,8.93,4.75,0.0,210.63,0.0,0.0,0.0
햄버그스테이크,200,20.76,26.96,29.65,5.33,950.22,70.28,9.41,0.31
황태구이,200,26.93,47.83,15.39,14.15,1135.33,211.58,2.4,0.12
훈제오리,250,12.08,43.06,64.07,0.27,1220.37,171.01,15.98,0.39
가자미전,150,6.9,25.8,11.1,0.3,819.36,176.26,2.25,0.0
감자전,100,27.62,2.9,7.29,0.35,268.85,1.94,1.09,0.04
계적,250,0.0,57.75,30.5,0.0,210.1,169.2,8.0,0.25
고추전,150,17.01,12.91,17.22,2.17,362.2,78.81,3.52,0.09
곶감샐러드,150,49.29,2.91,4.35,0.0,10.22,0.0,0.0,0.0
김치전,150,34.49,7.1,12.88,1.55,686.94,28.52,2.23,0.08
깻잎전,150,14.54,17.74,25.78,1.06,480.15,131.8,5.43,0.15
낙지꼬지,80,2.8,13.12,1.28,0.0,207.06,133.74,0.16,0.0
녹두빈대떡,100,20.93,7.95,10.27,0.1,232.05,12.48,2.26,0.06
다시마전,80,13.16,4.37,1.58,0.0,310.34,0.0,0.0,0.0
단호박전,120,45.97,6.59,10.63,0.0,77.06,0.0,0.0,0.0
달걀말이,100,2.61,11.98,13.02,0.05,327.21,292.17,3.11,0.07
돔베기적,100,0.0,30.1,7.4,0.0,451.25,64.23,0.6,0.0
동그랑땡,150,12.68,19.62,20.0,0.98,553.09,103.27,4.66,0.12
동태전,150,10.54,22.64,15.04,0.22,702.16,178.76,3.16,0.09
돼지고기찹쌀부침,158,47.92,13.32,10.02,0.0,119.76,0.0,0.0,0.0
두부달걀전,130,4.51,13.01,12.43,0.0,164.53,0.0,0.0,0.0
두부해산물꼬치구이,148,2.58,15.6,12.89,0.0,146.15,0.0,0.0,0.0
두부전,150,7.5,20.4,15.9,0.0,317.16,3.29,1.95,0.0
떡갈비,250,29.09,43.94,42.8,8.91,1102.78,108.11,15.25,0.64
마두부오징어전,139,16.65,10.52,8.74,0.0,158.07,0.0,0.0,0.0
미나리전,150,34.2,5.25,7.65,1.8,248.7,11.88,1.2,0.0
배추전,150,35.55,5.1,8.7,4.95,326.82,7.23,1.35,0.15
버섯전,150,16.2,10.5,14.85,2.7,313.76,100.1,2.25,0.0
부추전,150,37.35,5.7,9.0,1.35,249.43,9.27,1.35,0.0
소라산적,80,6.48,17.92,2.48,0.88,396.67,100.34,0.4,0.0
쇠고기산적,200,7.4,48.4,25.6,0.0,1392.84,134.84,7.0,0.8
오징어산적,80,3.6,17.36,2.0,0.88,477.1,234.25,0.24,0.0
치킨쇠고기땅콩소스꼬치,85,8.28,14.32,6.33,0.0,536.21,0.0,0.0,0.0
케첩완자,100,13.7,10.7,4.86,0.0,155.5,0.0,0.0,0.0
파전,150,34.81,6.83,14.03,0.79,345.96,46.14,2.26,0.07
해물파전,150,30.07,11.04,12.42,0.42,366.82,105.86,2.13,0.06
햄부침,100,11.26,11.33,17.12,1.03,715.66,72.11,4.38,0.11
호박전,150,16.05,6.45,13.05,2.85,276.96,92.52,2.4,0.0
홍어적,100,0.0,23.6,0.7,0.3,323.53,96.77,0.1,0.0
홍합산적,80,10.56,17.76,4.8,3.36,719.72,60.71,0.8,0.08
화양적,150,21.35,13.58,14.77,1.21,797.03,123.25,3.83,0.1
가지볶음,131,19.99,1.7,3.64,0.0,218.35,0.0,0.0,0.0
감자볶음,100,16.73,2.11,4.55,1.02,423.18,0.0,0.6,0.02
건새우볶음,20,5.71,4.67,2.69,2.6,196.24,33.45,0.4,0.02
고추잡채,200,26.17,10.99,12.01,2.09,828.55,39.26,2.11,0.08
궁중떡볶음,150,38.44,6.22,3.36,0.0,232.37,0.0,0.0,0.0
김자반,61,10.37,4.77,0.9,0.0,231.03,0.0,0.0,0.0
김치볶음,100,8.99,3.11,5.41,3.39,849.94,5.63,0.75,0.03
깻잎볶음,100,5.76,3.76,7.22,0.29,521.34,0.0,0.83,0.04
꽃게볶음,100,10.03,10.36,2.91,0.0,317.08,0.0,0.0,0.0
낙지볶음,200,21.67,14.89,4.51,7.56,895.12,118.31,0.89,0.04
닭갈비춘천,300,23.06,45.51,31.58,8.51,1016.94,217.67,11.26,0.25
돼지갈비볶음,120,6.55,12.04,8.42,0.0,293.29,0.0,0.0,0.0
돼지고기볶음,200,18.21,22.96,20.67,8.2,1051.76,57.87,5.12,0.15
돼지고기토마토두부볶음,150,7.93,9.96,9.7,0.0,293.3,0.0,0.0,0.0
돼지껍데기볶음,100,16.34,17.19,11.15,3.68,519.87,31.83,3.28,0.09
두부김치,250,14.08,19.47,17.11,1.49,989.69,13.92,3.17,0.08
떡볶이,200,60.48,7.61,3.46,6.83,853.08,7.49,0.75,0.0
라볶이,30,7.41,1.04,0.72,1.04,130.72,3.85,0.3,0.0
마파두부,200,10.73,15.26,13.77,0.29,691.4,24.58,2.77,0.08
멸치풋고추볶음,20,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
미역줄기볶음,100,4.97,1.07,4.7,0.21,1023.06,0.0,0.64,0.03
버섯볶음느타리,100,7.8,3.4,5.1,1.42,434.25,0.0,0.62,0.02
버섯볶음양송이,100,7.31,3.02,5.52,0.82,343.45,0.0,0.95,0.03
브로콜리쇠고기볶음,130,13.87,10.28,4.13,0.0,299.53,0.0,0.0,0.0
섭산삼,86,36.96,4.68,8.24,0.0,3.83,0.0,0.0,0.0
소고기채소볶음,117,4.81,9.56,14.8,0.0,217.8,0.0,0.0,0.0
소세지볶음,100,15.89,9.38,14.96,4.47,718.03,30.13,4.41,0.08
순대볶음,100,19.18,5.18,5.32,1.35,375.09,35.43,1.27,0.03
시금치돼지고기볶음,100,7.37,9.12,4.55,0.0,283.9,0.0,0.0,0.0
쌀국수볶음면,264,7.76,2.61,20.35,0.0,87.49,0.0,0.0,0.0
아시아식채소두부볶음,203,20.32,13.5,17.62,0.0,177.89,0.0,0.0,0.0
야채볶음,80,15.38,2.34,3.16,0.0,9.93,0.0,0.0,0.0
야채오믈렛,155,26.75,6.76,2.87,0.0,250.56,0.0,0.0,0.0
어묵볶음,100,28.3,7.53,5.09,6.61,847.36,14.22,0.96,0.03
오징어볶음,100,12.56,10.47,3.15,4.69,480.52,131.74,0.55,0.02
오징어채볶음,20,8.28,3.72,0.83,2.33,232.26,33.22,0.16,0.01
잔멸치볶음,20,5.25,6.2,2.51,2.56,379.29,49.37,0.47,0.02
잡채,150,38.84,2.05,4.53,2.72,658.95,0.0,0.75,0.04
조랭이떡궁중떡볶이,185,43.31,5.68,2.57,0.0,343.45,0.0,0.0,0.0
주꾸미볶음,200,22.82,18.33,5.2,5.06,918.86,200.76,0.61,0.02
칠리새우,93,17.18,10.7,6.85,0.0,158.17,0.0,0.0,0.0
토마토소스달걀볶음,60,10.08,4.39,5.9,0.0,107.4,0.0,0.0,0.0
팔보채,300,11.28,25.42,10.44,0.09,1129.31,224.96,1.69,0.05
팽이버섯야채볶음,130,10.85,2.55,4.37,0.0,14.1,0.0,0.0,0.0
표고버섯볶음,150,15.84,4.53,6.72,2.64,574.8,0.0,0.83,0.03
해물볶음,400,32.24,38.19,15.26,7.42,1755.16,329.59,2.07,0.06
해산물볶음,117,6.31,10.3,6.13,0.0,292.49,0.0,0.0,0.0
헝가리안폭찹,175,4.22,18.58,20.93,0.0,110.51,0.0,0.0,0.0
화지타,132,26.08,8.62,6.48,0.0,508.99,0.0,0.0,0.0
가자미조림간장고춧가루기타양념,300,21.47,37.08,7.09,10.54,1692.82,227.98,1.29,0.08
갈치조림,100,5.3,11.0,3.54,1.92,486.39,43.56,1.0,0.02
고기완두조림,100,18.9,11.37,6.97,0.0,45.19,0.0,0.0,0.0
고등어조림,100,5.04,10.03,7.77,2.02,474.69,30.02,2.01,0.05
곤약콩조림,69,10.65,7.43,3.68,0.0,209.01,0.0,0.0,0.0
다시마돼지고기조림,70,4.98,8.55,6.86,0.0,279.57,0.0,0.0,0.0
돼지고기메추리알장조림,50,3.37,8.34,1.85,1.27,582.99,47.64,0.44,0.0
두부튀김조림,115,14.34,6.96,16.2,0.0,139.21,0.0,0.0,0.0
두부조림,50,2.86,6.15,3.69,0.25,250.01,0.0,0.63,0.01
땅콩조림,20,7.72,3.22,4.17,2.85,150.8,0.0,0.77,0.0
부추조갯살콩비지조림,55,5.24,3.29,0.5,0.0,61.83,0.0,0.0,0.0
북어조림,100,17.14,20.83,3.33,8.2,765.95,99.63,0.67,0.05
소고기메추리알장조림,50,2.88,8.14,1.84,0.71,602.12,41.52,0.45,0.02
연근조림,30,18.06,0.63,0.38,7.08,200.37,0.19,0.07,0.0
오징어말이케첩조림,206,9.25,19.98,4.33,0.0,189.68,0.0,0.0,0.0
우엉조림,30,15.83,0.78,0.37,7.08,254.75,0.01,0.06,0.0
콩조림,20,7.82,3.87,0.83,2.41,213.38,0.0,0.17,0.0
감자튀김,100,37.59,3.69,15.74,0.29,246.46,0.0,3.06,0.08
고구마빠스,94,39.04,1.25,11.13,0.0,9.44,0.0,0.0,0.0
고구마맛탕,100,47.28,1.65,5.52,19.35,38.47,0.0,0.93,0.02
고구마튀김,100,33.8,2.7,11.9,7.7,148.41,20.84,1.7,0.1
김말이튀김,100,32.11,2.41,12.51,0.5,392.94,1.42,1.66,0.08
깐풍기,200,37.78,26.14,37.0,9.96,657.13,138.85,8.1,0.18
난자완스,200,19.15,21.63,20.35,0.49,703.23,76.76,4.59,0.23
닭강정,100,28.42,15.94,14.76,6.56,426.2,51.25,3.18,0.1
닭튀김양념,100,21.13,17.75,13.39,6.24,402.74,68.89,2.69,0.11
도라지검은깨튀김,56,23.64,2.38,3.89,0.0,161.62,0.0,0.0,0.0
등심돈가스,200,38.49,32.99,37.54,3.66,574.08,98.16,9.12,0.26
똥집튀김대구동구,150,29.06,28.14,26.62,1.82,322.44,251.91,4.09,0.21
라조기,200,26.23,20.66,23.49,0.15,648.52,90.58,5.15,0.15
레몬파슬리빵가루를입힌도미,60,8.43,10.04,1.73,0.0,61.65,0.0,0.0,0.0
멸치찹쌀양념튀김,64,17.51,8.81,11.1,0.0,180.44,0.0,0.0,0.0
모듬탕수,116,26.53,5.73,1.0,0.0,120.11,0.0,0.0,0.0
미꾸라지튀김,100,28.85,10.89,25.39,0.3,324.47,50.15,3.89,0.15
삼색콩튀김,88,36.58,5.39,10.48,0.0,34.76,0.0,0.0,0.0
새우튀김,100,26.3,9.05,17.76,0.09,555.81,60.23,3.04,0.19
생강향의고구마크로켓,88,25.25,2.31,10.96,0.0,49.25,0.0,0.0,0.0
생선까스,200,46.56,24.33,41.1,1.96,788.62,72.72,7.96,0.25
수삼당근정과,112,28.35,2.04,0.18,0.0,22.64,0.0,0.0,0.0
안심돈가스,200,34.25,33.28,42.4,2.77,551.55,105.47,8.55,0.25
오징어튀김,100,24.29,11.93,18.14,0.0,359.99,101.92,2.9,0.18
쥐포튀김,100,42.5,9.6,16.5,8.0,717.02,28.7,2.3,0.1
채소튀김,100,37.63,3.61,17.3,2.87,278.99,1.87,3.2,0.22
치즈돈가스,250,41.76,42.02,46.69,3.57,870.77,98.81,13.59,0.44
치즈스틱,30,6.46,0.94,1.02,0.39,24.14,0.98,0.53,0.0
치킨까스,200,44.02,27.91,33.92,4.15,779.27,72.97,8.42,0.27
탕수육,200,51.83,17.48,19.94,17.08,442.98,44.01,4.9,0.17
파마산치즈를가미한커틀렛,116,29.13,17.02,26.38,0.0,234.02,0.0,0.0,0.0
호두치킨,125,5.93,12.07,5.24,0.0,30.77,0.0,0.0,0.0
황태강정,68,22.47,18.67,6.46,0.0,159.7,0.0,0.0,0.0
가지나물,50,2.65,0.6,1.1,0.55,152.2,0.49,0.15,0.0
고구마줄기나물,100,5.13,1.68,3.85,0.54,529.24,0.0,0.47,0.02
고사리나물,50,3.25,2.0,2.75,0.0,257.38,0.0,0.35,0.0
도라지나물,50,4.9,0.8,3.65,0.0,253.13,0.0,0.45,0.0
머위나물,100,5.07,2.32,4.68,1.23,479.09,0.0,0.52,0.02
무나물,50,2.65,0.45,2.25,1.2,280.46,0.0,0.3,0.0
미나리나물,50,2.25,1.0,1.85,0.0,150.33,0.0,0.25,0.0
숙주나물,50,1.35,1.1,1.15,0.0,188.35,0.0,0.1,0.0
시래기나물,50,2.55,1.5,3.5,0.05,216.81,0.0,0.4,0.0
취나물,50,3.3,1.35,6.15,0.0,281.86,0.0,0.85,0.05
콩나물,50,0.95,1.7,1.65,0.0,213.95,0.0,0.2,0.0
감자냉채,123,9.03,1.73,0.37,0.0,102.93,0.0,0.0,0.0
겉절이배추,100,6.88,2.28,0.85,2.53,651.32,0.0,0.1,0.0
겉절이상추,100,8.02,2.51,2.88,3.23,499.98,0.0,0.31,0.02
골뱅이무침,100,15.69,7.08,1.97,10.47,525.52,38.35,0.26,0.02
과일요구르트샐러드,150,18.12,2.64,0.39,0.0,19.75,0.0,0.0,0.0
구운닭고기샐러드와저나트륨과일드레싱,202,17.15,12.97,14.4,0.0,174.39,0.0,0.0,0.0
구운닭고기를곁들인두부샐러드,140,3.74,14.5,6.31,0.0,265.93,0.0,0.0,0.0
김무침,30,10.56,2.72,3.61,3.84,491.99,0.05,0.63,0.08
낙지잣소스냉채,204,18.34,9.96,14.32,0.0,231.95,0.0,0.0,0.0
노각무침,100,9.55,1.71,1.22,4.71,544.91,0.0,0.15,0.0
니스와샐러드,105,5.12,7.97,4.36,0.0,78.76,0.0,0.0,0.0
단무지무침,100,5.55,0.91,1.67,1.43,857.84,0.0,0.19,0.0
달래무침,100,15.88,2.68,1.84,7.45,578.03,0.0,0.22,0.01
닭고기샐러드,172,8.51,16.51,17.34,0.0,270.49,0.0,0.0,0.0
도라지생채,100,23.56,2.29,1.34,9.82,527.16,0.0,0.15,0.0
도토리묵,100,10.38,0.29,0.32,0.43,124.15,0.0,0.03,0.0
돼지고기수육부추무침,119,11.28,9.56,13.16,0.0,258.15,0.0,0.0,0.0
두부다시마말이,149,6.85,5.86,4.6,0.0,246.91,0.0,0.0,0.0
두부선과저나트륨겨자간장소스,138,5.19,12.35,6.51,0.0,209.82,0.0,0.0,0.0
마늘쫑무침,30,8.52,0.82,0.25,4.56,415.03,0.28,0.05,0.0
무말랭이무침,30,8.55,0.98,0.3,3.75,384.61,0.04,0.04,0.0
무생채,100,9.26,1.69,0.96,5.57,582.55,1.78,0.11,0.0
묵무침청포묵,100,9.07,1.14,2.06,0.7,289.61,0.0,0.32,0.01
미역초무침,100,9.05,1.93,0.82,4.27,596.25,0.0,0.1,0.0
벤댕이무침인천,400,46.01,29.84,32.96,27.03,1027.22,101.51,4.61,0.15
부추무침,100,9.42,2.86,2.49,4.3,677.43,0.0,0.26,0.01
북어채무침,100,26.43,19.83,4.56,14.42,740.9,78.7,0.81,0.04
산마드레싱실곤약샐러드,120,7.09,7.09,4.98,0.0,35.41,0.0,0.0,0.0
상추겉절이,43,3.83,1.12,0.46,0.0,106.28,0.0,0.0,0.0
서대회무침여수,300,45.87,22.6,4.59,22.35,1198.9,67.71,0.55,0.02
수삼냉채,85,9.44,1.22,0.25,0.0,200.97,0.0,0.0,0.0
스테이크샐러드,140,3.49,16.93,10.12,0.0,404.08,0.0,0.0,0.0
쑥갓무침,100,4.38,3.02,3.79,0.21,473.33,0.03,0.45,0.03
아보카도두부샐러드,207,8.32,11.53,38.77,0.0,361.05,0.0,0.0,0.0
아시아식국수샐러드,117,47.37,13.41,2.47,0.0,262.63,0.0,0.0,0.0
양상추와닭고기요리,171,6.43,4.45,4.48,0.0,67.31,0.0,0.0,0.0
양장피,250,19.44,16.41,9.6,1.66,853.36,146.18,1.94,0.07
얼갈이무침,138,6.68,4.68,4.06,0.0,181.11,0.0,0.0,0.0
연어냉채,95,7.41,9.57,6.74,0.0,398.28,0.0,0.0,0.0
오이초절임,83,19.27,0.85,13.6,0.0,372.92,0.0,0.0,0.0
오이생채,100,8.26,1.64,0.86,4.17,502.36,0.0,0.11,0.0
오이선,89,7.08,5.38,2.54,0.0,224.15,0.0,0.0,0.0
오이지무침,100,10.15,1.5,2.83,3.97,1129.78,0.0,0.29,0.01
이태리식해산물샐러드,147,3.48,17.68,4.59,0.0,225.67,0.0,0.0,0.0
쥐치채,20,10.89,2.75,0.15,4.55,296.34,8.57,0.19,0.01
참기름드레싱의즉석샐러드,72,5.96,1.35,5.48,0.0,109.15,0.0,0.0,0.0
카프라제,89,3.81,6.98,13.35,0.0,7.61,0.0,0.0,0.0
탕평채,100,12.3,3.6,3.8,0.4,260.4,47.24,0.7,0.0
태국식불고기샐러드,130,8.71,8.26,3.12,0.0,241.79,0.0,0.0,0.0
파래무침,30,5.95,1.14,0.68,2.6,244.01,0.0,0.14,0.01
파무침,100,11.86,2.13,3.47,7.07,452.71,0.0,0.4,0.01
펜네파스타샐러드,102,34.18,7.39,4.84,0.0,71.98,0.0,0.0,0.0
허브마리네이드참치샐러드,182,13.9,26.61,7.77,0.0,61.24,0.0,0.0,0.0
호두사과샐러드,80,13.7,1.23,6.48,0.0,30.65,0.0,0.0,0.0
홍어회무침,200,25.95,17.85,2.63,14.46,802.04,57.03,0.36,0.0
갓김치,50,4.12,1.78,0.62,0.99,448.99,1.45,0.06,0.0
고들빼기,50,10.93,1.58,0.61,2.84,742.43,2.98,0.07,0.0
깍두기,50,3.34,0.83,0.18,1.39,323.47,0.8,0.02,0.0
깻잎김치,100,14.08,3.47,1.91,5.41,1174.52,0.0,0.2,0.01
나박김치,100,1.64,0.61,0.52,0.1,498.44,0.43,0.02,0.0
동치미,100,2.78,0.49,0.24,0.6,555.93,0.0,0.01,0.0
배추김치,50,2.9,1.23,0.29,0.79,312.08,1.13,0.06,0.0
백김치,50,1.23,0.53,0.26,0.12,249.07,0.01,0.01,0.0
부추김치,100,10.83,3.22,1.37,4.16,767.4,0.0,0.18,0.0
열무김치,50,2.43,1.12,0.28,0.58,310.35,1.81,0.05,0.0
열무얼갈이김치,50,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0.0
오이소박이,50,2.45,0.85,0.47,0.14,266.0,0.88,0.04,0.0
총각김치,50,2.82,1.16,0.3,0.79,337.76,0.9,0.06,0.0
파김치,50,4.54,1.49,0.6,1.13,408.05,2.17,0.07,0.0
간장게장,250,12.84,37.69,11.12,5.9,3220.82,378.79,2.63,0.23
양념게장,200,42.05,23.92,1.75,17.04,1775.08,135.41,0.61,0.02
고추장아찌,30,3.95,0.77,0.31,2.42,773.52,0.09,0.03,0.0
깻잎장아찌,30,6.88,1.03,0.41,2.88,546.72,0.44,0.04,0.0
마늘장아찌,30,2.96,0.9,0.15,1.28,487.97,0.02,0.01,0.0
매실장아찌,30,17.43,0.5,0.13,11.45,337.86,0.0,0.02,0.0
무장아찌,30,5.03,0.44,0.23,2.88,879.81,0.04,0.01,0.0
양배추깻잎피클,64,3.83,0.43,0.08,0.0,334.73,0.0,0.0,0.0
양파장아찌,100,7.63,1.11,0.49,5.55,703.0,0.0,0.01,0.0
오이피클,20,5.06,0.12,0.06,0.0,133.4,0.0,0.0,0.0
복숭아샤벳,270,39.18,1.57,0.3,0.0,8.61,0.0,0.0,0.0
서양식씨리얼뮤즐리,105,25.76,5.25,4.76,0.0,27.14,0.0,0.0,0.0
식혜팥빙수,150,33.08,3.66,0.01,0.0,5.36,0.0,0.0,0.0
홍시쉐이크,120,18.29,1.15,0.56,0.0,4.76,0.0,0.0,0.0
수정과,150,20.4,0.6,5.4,20.7,9.72,0.0,0.0,0.15
식혜,150,24.3,2.25,2.7,17.1,3.38,0.0,0.0,0.0
우유생강차,200,15.66,5.98,2.82,0.0,184.94,0.0,0.0,0.0
복숭아화채,101,16.7,1.35,1.1,0.0,1.69,0.0,0.0,0.0
수박화채,210,28.37,3.4,0.74,0.0,2.18,0.0,0.0,0.0
오렌지,200,11.11,0.0,0.0,11.12,22.22,0.0,0.0,0.0
과일젤리,160,34.99,1.31,0.18,0.0,25.3,0.0,0.0,0.0
두부양갱,82,11.9,2.84,1.68,0.0,2.54,0.0,0.0,0.0
딸기잼,20,12.58,0.08,0.02,0.0,0.6,0.0,0.0,0.0
가래떡,100,47.49,3.81,0.33,0.0,256.96,0.0,0.17,0.0
고구마경단,100,44.01,2.8,3.56,0.0,50.51,0.0,0.0,0.0
고구마란,92,35.59,2.82,2.76,0.0,12.69,0.0,0.0,0.0
고구마쑥단자,80,32.7,3.93,1.14,0.0,7.71,0.0,0.0,0.0
고추장떡,103,41.24,6.86,5.8,0.0,110.68,0.0,0.0,0.0
김치떡,145,53.3,13.47,3.42,0.0,293.33,0.0,0.0,0.0
꿀떡,100,48.86,3.82,0.79,2.6,250.9,0.43,0.24,0.0
녹두시루떡,100,48.1,7.7,2.5,4.0,263.66,0.0,0.5,0.0
떡메밀전병,100,21.6,6.2,6.3,0.6,345.8,8.05,1.2,0.0
떡송편깨,100,45.0,4.9,2.7,1.1,231.82,0.0,0.5,0.0
떡송편콩,100,41.7,5.2,0.7,1.3,233.5,0.0,0.2,0.0
떡수수부꾸미,100,42.1,5.7,6.3,0.2,261.0,0.0,1.0,0.0
떡수수팥떡,100,43.0,6.7,0.6,2.8,241.93,0.0,0.2,0.0
떡쑥떡,100,57.9,3.4,0.4,10.7,254.32,0.0,0.2,0.0
떡경단깨,100,74.2,4.4,0.5,26.6,180.0,0.0,0.5,0.0
떡경단콩,100,74.0,3.5,0.5,20.6,225.83,0.0,0.2,0.0
떡기피편,100,49.0,5.4,0.2,2.1,281.06,0.0,0.1,0.0
모듬옥수수,130,15.0,9.85,3.61,0.0,108.42,0.0,0.0,0.0
모듬찰떡,100,47.38,5.71,1.17,4.61,237.09,0.0,0.27,0.0
무지개떡,100,53.01,3.53,0.31,8.98,276.82,0.0,0.16,0.0
백설기,70,36.75,2.55,0.29,5.04,202.02,0.0,0.1,0.0
시루떡,100,47.54,5.47,0.61,3.22,277.91,0.0,0.24,0.0
약식,100,52.33,3.71,2.24,9.67,289.33,0.0,0.55,0.04
인절미,100,45.39,5.65,1.86,1.93,341.37,0.0,0.56,0.0
절편,100,43.94,3.64,0.28,0.07,265.87,0.03,0.19,0.0
증편,100,44.83,2.66,0.3,6.6,264.17,0.0,0.16,0.0
찹쌀떡,100,65.61,3.27,0.15,17.54,225.61,0.0,0.15,0.0
초당순두부강릉,900,15.76,49.12,29.24,0.86,1203.35,0.0,3.83,0.0
닭고기양배추쌈,184,8.92,14.7,11.33,0.0,68.96,0.0,0.0,0.0
